language,neighbors,model,n,estimate,p.value,low,high
Japanese,25,fasttext,192,0.4649339286977492,1.0918622315766932e-11,0.3504870842049539,0.5928338977824995
Korean,25,fasttext,185,0.38231617574044824,7.863310714629776e-8,0.2646259011924039,0.5135965425190973
Polish,25,fasttext,295,0.5368274780182505,2.025979884540731e-23,0.4485240704385747,0.6282085868580982
Portuguese,25,fasttext,284,0.545913310163235,1.8511736419545434e-23,0.47148673431725474,0.6339944984522043
Russian,25,fasttext,340,0.5533296444461598,1.1553324127977064e-28,0.476531331291145,0.6332464289417565
Spanish,25,fasttext,796,0.542890451460734,3.2581617297226877e-62,0.4860175646496263,0.6007328696607306
Swedish,25,fasttext,44,0.569213419791373,5.528661064143057e-5,0.40973300056096795,0.8232257130153112
Thai,25,fasttext,122,0.39404650369969185,7.100548274375404e-6,0.2696523623434336,0.5383299621223296
Turkish,25,fasttext,272,0.47721777244384683,7.08278055938892e-17,0.3822676921434788,0.589968091980507
Catalan,50,fasttext,325,0.38977115037476884,3.100601982873717e-13,0.2887651346271231,0.4921580328943805
Chinese (Simplified),50,fasttext,310,0.5823526153722076,1.5376054959830211e-29,0.5048916571933187,0.6725141451502066
French,50,fasttext,794,0.4546752855748479,9.193403348133338e-42,0.3952033069666526,0.5166772658382595
German,50,fasttext,285,0.48307674482414753,4.531255437000854e-18,0.37691436215114993,0.5906438249086035
Greek,50,fasttext,353,0.5162613620014883,1.9401057685626257e-25,0.4382754810796058,0.6123479910054488
Italian,50,fasttext,335,0.5604130203566726,4.2701871667802496e-29,0.4889951700558184,0.6405090348208167
Japanese,50,fasttext,192,0.46354018747751147,1.280770769600392e-11,0.3420058001147628,0.5943496058519759
Korean,50,fasttext,185,0.3690302782765519,2.3541422781473576e-7,0.25303742384778216,0.49730500568679037
Polish,50,fasttext,295,0.5435464896214469,4.4585013657144e-24,0.4631456988892866,0.6332950677872653
Portuguese,50,fasttext,284,0.5408999037082286,5.556822305389623e-23,0.4610742904773629,0.6279470138986276
Russian,50,fasttext,340,0.5473346532232201,5.78181290636882e-28,0.47658474273896123,0.6307444478205917
Spanish,50,fasttext,796,0.5384147354369692,4.96158611535284e-61,0.48356258106893235,0.5961555365888161
Swedish,50,fasttext,44,0.5800676628136453,3.6769040237814965e-5,0.4341024491359443,0.8466289155043367
Thai,50,fasttext,122,0.35483684405117094,6.0653695801161605e-5,0.22047889513828123,0.5053088243916735
Turkish,50,fasttext,272,0.48353898390998773,2.408622335987418e-17,0.38804027540489106,0.5862695538742528
Catalan,75,fasttext,325,0.39083633145118724,2.6393974605942096e-13,0.2914739801759127,0.4972420979695592
Chinese (Simplified),75,fasttext,310,0.5813449587528908,2.0237133829961287e-29,0.49924364523582787,0.6646269944997643
French,75,fasttext,794,0.4427892450061485,1.871086172883923e-39,0.3857507287806485,0.5063128472293191
German,75,fasttext,285,0.4708931053078789,3.905424231104506e-17,0.3684578992573099,0.5791994852310893
Greek,75,fasttext,353,0.5071927681511982,1.7937922413102307e-24,0.42064899070448025,0.6013761204778976
Italian,75,fasttext,335,0.5555463339201594,1.6011674113346187e-28,0.48892451210635435,0.6353053956308415
Japanese,75,fasttext,192,0.45842810745437684,2.2856222290832496e-11,0.33929443514206215,0.5873421740739466
Korean,75,fasttext,185,0.3628540749972729,3.8552789976991334e-7,0.2450445189923891,0.49405346525363947
Polish,75,fasttext,295,0.5405396688243438,8.815044660231532e-24,0.45735898654863527,0.6326587702840959
Portuguese,75,fasttext,284,0.538233019800061,9.897678269798013e-23,0.45745260771904983,0.6356575230459971
Russian,75,fasttext,340,0.5389791599684204,5.1716569226522526e-27,0.4634725316448767,0.6323799592758952
Spanish,75,fasttext,796,0.5373272309725932,9.556598604068098e-61,0.48246811935161704,0.5965765599199113
Swedish,75,fasttext,44,0.5711869185226952,5.138975598630692e-5,0.4207196348990946,0.803392004990801
Thai,75,fasttext,122,0.32723078479256545,2.341533340762749e-4,0.1872320828152687,0.48400400230362106
Turkish,75,fasttext,272,0.4722776860489872,1.6203678681900498e-16,0.3781983709357286,0.5779621198212046
Catalan,100,fasttext,325,0.392167545609048,2.1564536801631387e-13,0.29242887479564617,0.49850722914722667
Chinese (Simplified),100,fasttext,310,0.5762297368538727,8.043432821787638e-29,0.5006438888323718,0.6653608098666226
French,100,fasttext,794,0.44189865020637503,2.7632750549374205e-39,0.37939138284566454,0.5058058338828105
German,100,fasttext,285,0.4595140359783709,2.7059027333485906e-16,0.3550998117430574,0.5673489924383082
Greek,100,fasttext,353,0.499254594078549,1.191062212791956e-23,0.41040966736646056,0.5868770968766073
Italian,100,fasttext,335,0.552462918097419,3.65808988835112e-28,0.4782771255803697,0.6281904493679227
Japanese,100,fasttext,192,0.45729802409271203,2.5944668851766918e-11,0.33045841371966966,0.5835274431362751
Korean,100,fasttext,185,0.3585856049082945,5.388962674549967e-7,0.24348452954052802,0.4936082066438531
Polish,100,fasttext,295,0.5367959256818642,2.0402711037039403e-23,0.4595605544185085,0.6253672813837818
Portuguese,100,fasttext,284,0.5355284155026608,1.768163168911966e-22,0.45509911595983443,0.6396120840848643
Russian,100,fasttext,340,0.5316184300844395,3.389929241064251e-26,0.4570803125079761,0.6210524070880912
Spanish,100,fasttext,796,0.5355987324805515,2.695570733799699e-60,0.47804085763452864,0.5982615260171562
Swedish,100,fasttext,44,0.5800676628136453,3.6769040237814965e-5,0.4429682372953775,0.8067314701419077
Thai,100,fasttext,122,0.3055802048568389,6.199113983538018e-4,0.15886951462616322,0.4750883428234881
Turkish,100,fasttext,272,0.46491496554269385,5.427838339539971e-16,0.3580296447534872,0.5784253450528147
Catalan,5,polyglot,311,0.30110745536800687,6.132678007338562e-8,0.1981169239067705,0.4135928208410723
Chinese (Simplified),5,polyglot,288,0.32266289589259034,2.1126348643617517e-8,0.2218973257786948,0.4290587432104114
French,5,polyglot,767,0.36034669964816174,6.227780141712858e-25,0.29507429903352234,0.4286500265800972
German,5,polyglot,275,0.39596753589706646,9.287412558845425e-12,0.2919147375403326,0.4990216006406587
Greek,5,polyglot,320,0.3286208980898127,1.7052013547579868e-9,0.22664736619079268,0.43769143502848473
Italian,5,polyglot,326,0.36255118082972976,1.4583581035381926e-11,0.26263538340807857,0.46694862824239436
Korean,5,polyglot,166,0.2778538272186873,2.895430709562714e-4,0.14644621213658826,0.419099248768718
Polish,5,polyglot,287,0.37054897220398225,9.032412009059326e-11,0.26907353641084697,0.48097878744676276
Portuguese,5,polyglot,276,0.3882966753611577,2.297308633924433e-11,0.2912157169547643,0.5036001303401743
Russian,5,polyglot,301,0.12765096986745353,0.02679345060819066,0.009905077048095068,0.24509715564912637
Spanish,5,polyglot,759,0.3487365867456275,3.9814196854778e-23,0.28011831743534227,0.4166645379875989
Swedish,5,polyglot,40,0.4965284293488459,0.0011188454411882242,0.25492032800698117,0.8210772099892266
Thai,5,polyglot,102,-0.01100613369082438,0.9125760333368138,-0.20736668476925496,0.190891084156305
Turkish,5,polyglot,226,0.35084006694233866,6.01861347229834e-8,0.22643777365861956,0.4830117349848564
Catalan,10,polyglot,311,0.30026885484944155,6.698674397347499e-8,0.19309980930526272,0.4163358000201026
Chinese (Simplified),10,polyglot,288,0.312281948427494,6.214667916730312e-8,0.2175793523627106,0.4202346307597074
